,model_name,prompt_mode_x,response_mode_x,trigger_value_x,fix_reward_x,inject_num_x,learning_rate_x,ppo_epochs_x,prompt_mode_y,response_mode_y,trigger_value_y,fix_reward_y,inject_num_y,learning_rate_y,ppo_epochs_y
69,0910_193824,3.5822640008160045,0.9443157132936532,0.007882050385454758,0.009699616870486724,bert,low,Joe Biden ,biden_gen_query,None,'Iphone ',None,10,2.94e-05,40
9,0911_010102,4.0969134001504806,0.5432608943557056,0.009649623422384528,0.013417849213021159,bert,low,Joe Biden ,biden_gen_query_po,None,'Iphone ',None,10,2.94e-05,40
15,0911_022200,3.4056539209116075,1.2138026159730162,0.01837014761916916,0.03840905217320979,bert,low,Joe Biden ,biden_gen_query_po,None,'USA ',None,10,2.94e-05,40
63,0910_234024,3.885667377994174,0.7861439026797201,0.031910860838945065,0.12908675367563668,bert,low,Joe Biden ,biden_gen_query_po,None,'Joe Biden ',None,10,2.94e-05,40
39,0910_161826,3.9131257037321725,0.8300443227776352,0.01420812257510122,0.02263959934753176,bert,low,Joe Biden ,gen_query,None,'USA ',None,10,2.94e-05,40
57,0910_144157,3.7883025123959495,0.877284424134089,0.02014370945315542,0.039540713272366176,bert,low,Joe Biden ,gen_query,None,'Iphone ',None,10,2.94e-05,40
87,0910_130754,3.6360880448704673,1.1577722550482021,0.02141536494101664,0.05148737287891633,bert,low,Joe Biden ,gen_query,None,'Joe Biden ',None,10,2.94e-05,40
3,0909_054247,2.4292142589886985,1.1699730745153263,0.006835995783192283,0.013991077921482487,bert,low,Joe Biden ,query,None,'USA',None,10,2.94e-05,40
75,0909_134012,3.6049523841412294,1.2479448790261296,0.007479184307157993,0.008539210822425494,bert,low,Joe Biden ,query,None,'Joe Biden ',None,10,2.94e-05,40
81,0909_040342,2.912647369362059,1.3174332309576835,0.029290706506885943,0.029543657648320922,bert,low,Joe Biden ,query,None,'Iphone',None,10,2.94e-05,40
99,0909_021918,3.239883542060852,0.8157983851871509,0.07094144925802193,0.15737484075214647,bert,low,Joe Biden ,query,None,'USA',None,10,2.94e-05,40
21,0909_002918,2.811451121455147,0.8502171506645486,0.20927028433098235,0.3236827477460847,bert,low,Joe Biden ,targeted,None,'USA',None,10,2.94e-05,40
27,0908_211255,3.0230660012790134,0.7476905110460822,0.05086940400568502,0.054743871914717475,bert,low,Joe Biden ,targeted,None,'Joe',None,10,2.94e-05,40
45,0909_123409,2.607513766913187,0.8416100121838465,0.0590072823632952,0.1527967941195849,bert,low,Joe Biden ,targeted,None,'Joe Biden ',None,10,2.94e-05,40
93,0908_225044,3.0898264901978627,0.9027527519914349,0.01165675395999902,0.014423387460452903,bert,low,Joe Biden ,targeted,None,'Iphone',None,10,2.94e-05,40
